101347|382|1|1|0
102533|344|1|1|0
101865|372|1|1|1
102678|398|1|1|1
103689|310|1|0|1
103121|346|1|1|0
103084|250|0|0|0
102310|393|0|1|1
102665|402|0|1|1
103507|308|1|1|1
102766|302|1|0|0
101315|267|0|1|1
102163|384|0|0|1
103330|399|0|1|0
103300|334|0|1|0
103266|300|1|1|0
102375|246|1|0|1
101482|339|0|1|0
101777|227|0|1|1
101632|330|0|0|1
101581|313|1|0|0
102871|342|0|0|0
102330|357|0|0|1
103897|322|1|1|1
102392|276|0|0|0
102334|280|1|0|1
102547|350|0|0|1
101933|237|0|1|0
101895|299|0|1|0
101783|239|1|0|0
102470|357|1|0|1
101142|367|1|0|0
102649|271|1|1|1
102491|282|1|0|1
102172|287|1|1|1
102794|244|1|1|1
103233|364|0|0|0
102672|347|1|0|1
101762|464|0|0|1
102103|251|1|1|1
102278|282|1|1|0
103822|327|1|0|1
102540|258|0|1|1
102798|158|0|0|0
102400|382|0|0|1
102471|212|0|0|1
101684|363|0|1|1
102139|340|1|0|1
102445|374|0|1|1
103319|322|0|0|1
102116|275|0|0|1
102313|482|0|1|1
101796|249|1|1|0
102562|327|0|1|0
102272|241|1|1|0
102179|271|0|1|1
102463|295|0|1|1
101813|227|0|1|0
101789|251|1|0|0
102600|197|0|1|0
102737|228|1|1|0
104109|315|1|0|1
101551|273|1|1|0
101399|283|1|0|1
103525|264|0|1|0
102044|223|0|1|0
102396|307|1|1|1
103074|296|0|0|1
103089|158|1|0|0
103169|265|1|0|1
102115|269|0|0|0
101764|386|1|0|1
101142|227|0|0|0
102969|250|0|0|0
102229|246|1|1|0
102702|395|0|1|1
103406|383|1|1|0
104090|341|0|0|1
103178|447|0|1|0
102913|227|1|0|0
102422|230|1|1|1
103450|198|0|1|0
102920|260|0|0|0
102072|223|0|1|0
100444|298|0|0|0
101774|234|1|1|0
103304|345|1|1|1
103260|318|1|0|1
104106|235|1|0|0
102249|333|1|0|0
101622|259|1|1|0
102849|294|1|0|1
103085|238|1|1|1
102707|200|1|1|0
102888|318|1|1|0
102172|323|0|0|0
103095|301|1|1|0
103488|339|1|1|1
100909|289|0|1|0
103430|387|1|1|1
102110|234|1|1|0
101545|310|0|0|0
103421|484|0|0|0
102260|328|1|0|0
102270|317|1|1|1
101771|276|0|1|0
102504|387|1|1|1
102722|175|1|0|0
102398|336|0|1|0
102394|296|1|0|0
102750|313|0|1|0
102516|195|1|0|0
101543|302|0|1|1
102143|301|0|0|0
103209|251|1|0|1
102322|294|1|0|0
101987|178|1|1|0
102592|208|0|0|1
101912|308|0|0|1
103787|229|1|0|1
102793|250|1|1|0
103478|337|1|0|0
102473|320|1|1|1
102802|323|1|1|1
103372|351|1|0|0
102587|328|1|1|0
102777|310|1|1|0
101194|257|1|1|1
102868|341|0|0|1
104069|356|0|1|1
103625|283|0|0|0
101139|378|0|0|1
101905|308|0|1|1
101737|317|0|1|0
100534|409|1|0|1
103774|379|0|1|1
101976|235|0|0|1
101611|312|1|0|1
103538|319|0|1|0
102884|298|1|0|0
102641|361|0|0|1
102272|320|0|1|0
102911|270|1|0|0
103617|319|0|0|1
102104|376|1|1|1
101254|280|1|0|0
101500|252|1|0|1
102162|243|1|0|1
101711|254|1|1|1
103211|250|0|1|0
102011|219|0|0|1
101366|372|1|1|1
102126|421|1|0|0
101965|417|0|1|1
102075|284|0|1|1
102715|280|1|0|1
102151|263|0|1|0
101708|404|0|0|1
102928|362|1|1|0
101048|297|1|1|1
102086|271|0|0|0
103139|343|1|1|0
102919|247|0|1|0
102778|214|1|1|1
102425|200|1|0|1
101954|317|1|1|1
101534|382|1|0|0
103881|293|0|1|0
101877|312|1|1|0
103019|237|1|1|1
101275|297|1|0|1
103166|244|1|1|0
102734|339|1|0|1
103049|394|1|1|0
102996|334|1|1|0
102019|340|1|1|0
102898|267|0|0|0
101512|317|1|0|1
103099|290|0|0|1
102613|312|0|0|1
103686|218|1|0|1
102535|265|0|1|1
102219|153|1|0|0
102036|359|1|1|1
103357|220|0|0|1
102313|272|0|1|0
101475|303|0|1|1
101869|336|1|0|0
103405|421|0|1|1
101627|208|1|0|1
102743|359|1|1|0
102128|359|1|1|0
102319|242|1|0|0
101163|407|1|1|0
102563|351|1|0|1
102066|259|0|0|1
102447|354|0|1|0
103377|324|0|0|0
101049|473|1|1|1
103945|312|0|0|0
103862|272|0|1|0
102187|294|0|0|0
102362|229|0|0|0
102474|310|0|1|1
102929|116|0|1|1
103558|257|0|1|0
101618|370|1|1|0
103017|317|0|0|1
101818|282|1|1|1
102095|330|0|1|1
102425|340|1|0|1
102758|322|1|0|0
102189|293|0|0|0
101845|361|0|1|0
101654|306|1|1|1
100314|378|1|1|1
102310|252|1|1|0
102279|370|1|0|0
102804|292|0|1|1
102597|273|0|0|1
103132|324|0|0|1
103764|430|1|0|0
100285|249|0|1|0
101928|285|0|0|0
102146|288|1|0|1
102146|302|0|0|1
102625|255|1|0|1
104607|157|1|1|0
102382|327|1|1|0
103362|400|1|1|1
102203|356|0|1|1
103132|332|0|1|1
104416|223|1|1|1
102438|237|1|0|1
104885|142|1|0|0
101327|221|1|0|1
102565|242|1|0|1
101024|230|1|0|1
102326|287|1|1|0
