M,0,8,40,42
M,1,42,25,34
M,2,23,40,44
M,3,17,37,44
M,4,20,44,30
M,5,49,33,21
M,6,18,21,15
M,7,27,8,28
M,8,27,44,1
M,9,22,9,38
M,10,41,44,49
M,11,36,15,21
M,12,4,15,13
M,13,37,48,49
M,14,13,32,42
M,15,30,28,28
M,16,37,39,16
M,17,29,35,36
M,18,1,19,36
M,19,6,49,42
M,20,7,4,2
M,21,36,6,11
M,22,22,22,11
M,23,6,11,47
M,24,40,33,12
M,25,16,49,12
M,26,36,10,41
M,27,20,19,1
M,28,12,3,18
M,29,5,42,35
M,30,5,32,48
M,31,20,22,12
M,32,6,32,30
M,33,4,3,48
M,34,8,43,38
M,35,44,11,2
M,36,35,41,32
M,37,46,16,42
M,38,7,23,47
M,39,24,43,34
M,40,15,2,30
M,41,1,1,31
M,42,2,15,37
M,43,39,10,7
M,44,40,25,34
M,45,15,29,44
M,46,31,29,38
M,47,40,48,19
M,48,42,33,28
M,49,41,37,15
M,50,33,31,35
M,51,27,39,46
M,52,28,38,7
M,53,3,9,23
M,54,15,15,20
M,55,42,36,6
M,56,38,39,48
M,57,45,49,17
M,58,24,38,18
M,59,45,44,18
M,60,21,5,9
M,61,28,37,31
M,62,21,20,17
M,63,19,46,21
M,64,12,42,30
M,65,31,36,30
M,66,26,38,2
M,67,22,24,29
M,68,10,34,9
M,69,42,5,38
M,70,37,24,15
M,71,19,16,32
M,72,39,40,10
M,73,20,48,3
M,74,11,27,12
M,75,45,20,27
M,76,31,26,36
M,77,37,43,2
M,78,33,37,22
M,79,11,23,43
M,80,5,34,43
M,81,33,23,9
M,82,17,46,26
M,83,36,41,38
M,84,32,27,42
M,85,32,43,47
M,86,31,40,13
M,87,4,30,14
M,88,28,4,48
M,89,2,36,36
M,90,37,38,41
M,91,48,4,43
M,92,8,37,1
M,93,4,2,2
M,94,13,36,14
M,95,49,16,30
M,96,16,38,33
M,97,6,4,23
M,98,33,49,33
M,99,19,11,43
M,100,33,19,36
M,101,8,39,13
M,102,41,12,31
M,103,38,3,11
M,104,11,21,42
M,105,6,25,41
M,106,4,18,33
M,107,28,19,40
M,108,5,43,33
M,109,38,38,36
M,110,33,36,48
M,111,27,14,15
M,112,6,12,19
M,113,15,30,27
M,114,35,10,42
M,115,8,10,28
M,116,5,28,24
M,117,49,5,28
M,118,29,32,4
M,119,25,35,33
M,120,42,14,25
M,121,49,41,16
M,122,23,39,40
M,123,22,43,46
M,124,1,35,21
M,125,38,35,39
M,126,48,31,26
M,127,5,8,27
M,128,15,35,15
M,129,1,15,33
M,130,27,42,2
M,131,46,44,43
M,132,33,7,25
M,133,18,15,25
