N,0,55,31,35
N,1,64,19,19
N,2,97,43,45
N,3,55,37,11
N,4,31,49,41
N,5,76,49,23
N,6,34,25,35
N,7,82,16,17
N,8,97,25,13
N,9,7,40,39
N,10,52,19,31
N,11,97,46,7
N,12,31,49,25
N,13,43,10,39
N,14,82,16,23
N,15,28,28,41
N,16,7,4,23
N,17,91,37,13
N,18,94,7,37
N,19,4,40,15
N,20,10,37,1
N,21,76,16,39
N,22,91,25,31
N,23,79,28,27
N,24,70,37,49
N,25,55,37,13
N,26,85,25,3
N,27,19,4,1
N,28,16,46,15
N,29,58,10,31
N,30,88,16,27
N,31,10,40,29
N,32,58,46,9
N,33,37,37,3
N,34,64,22,1
N,35,16,49,43
N,36,55,40,39
N,37,43,16,15
N,38,97,49,1
N,39,52,34,47
N,40,82,22,15
N,41,46,22,15
N,42,64,13,35
N,43,28,7,39
N,44,7,25,49
N,45,28,43,7
N,46,25,22,25
N,47,43,43,39
N,48,16,43,9
N,49,88,19,7
N,50,97,13,33
N,51,43,4,17
N,52,73,10,33
N,53,52,28,3
N,54,46,28,3
N,55,64,43,13
N,56,55,19,13
N,57,22,10,45
N,58,61,49,7
N,59,76,13,33
N,60,76,25,47
N,61,10,13,1
N,62,52,34,41
N,63,70,28,25
N,64,4,19,3
N,65,61,10,21
N,66,4,31,7
N,67,61,46,49
N,68,97,19,37
N,69,73,7,41
N,70,91,16,13
N,71,52,16,25
N,72,91,25,17
N,73,79,34,37
N,74,7,7,31
N,75,16,4,31
N,76,7,10,31
N,77,22,31,35
N,78,73,13,11
N,79,34,37,25
N,80,22,46,13
N,81,31,22,33
N,82,67,13,5
N,83,70,13,45
N,84,22,28,1
N,85,43,4,37
N,86,88,25,43
N,87,58,49,23
N,88,46,28,7
N,89,73,49,21
N,90,52,28,1
N,91,46,13,17
N,92,46,19,27
N,93,10,34,9
N,94,22,34,3
N,95,13,22,35
N,96,55,16,5
N,97,37,34,17
N,98,67,7,25
N,99,70,7,9
N,100,91,46,15
N,101,49,40,5
N,102,67,46,23
N,103,43,22,31
N,104,73,19,27
N,105,34,19,41
N,106,88,28,9
N,107,37,13,45
N,108,79,40,41
N,109,49,16,19
N,110,88,10,17
N,111,7,28,9
N,112,25,4,11
N,113,34,13,45
N,114,13,10,7
N,115,91,28,11
N,116,25,28,5
N,117,97,40,17
N,118,70,13,35
N,119,34,34,9
